AUM,EXPENSE_RATIO,FUND,ISSUER,RETURN_10YR,RETURN_1YR,RETURN_3YR,RETURN_5YR,SEGMENT,TICKER
773335200.0,24.0,Guggenheim BulletShares 2020 Corporate Bond ETF,['Guggenheim'],,0.044821,0.032173,,Fixed Income: U.S.  -  Corporate Investment Grade Intermediate,BSCK
770861430.0,8.0,iShares Core Total USD Bond Market ETF,['BlackRock'],,0.032012,,,Fixed Income: U.S.  -  Broad Market,IUSB
761054400.0,20.0,iShares Morningstar Large-Cap ETF,['BlackRock'],0.084986,0.283635,0.120827,0.15254,Equity: U.S.  -  Large Cap,JKD
759180918.622,63.0,First Trust Mid Cap Core AlphaDEX Fund,['First Trust'],,0.341584,0.065088,0.112038,Equity: U.S.  -  Mid Cap,FNX
755785200.0,8.0,iShares Core 1-5 Year USD Bond ETF,['BlackRock'],,0.028825,0.016102,,Fixed Income: U.S.  -  Broad Market Short-Term,ISTB
737774185.994032,15.0,SPDR S&P 500 Growth ETF,['State Street Global Advisors'],0.087774,0.220293,0.110156,0.141035,Equity: U.S.  -  Large Cap Growth,SPYG
730273535.517939,15.0,SPDR S&P 600 Small Cap ETF,['State Street Global Advisors'],0.090609,0.38998,0.106453,0.144959,Equity: U.S.  -  Small Cap,SLY
721406700.0,25.0,iShares Morningstar Mid-Cap ETF,['BlackRock'],0.081689,0.277789,0.095201,0.136211,Equity: U.S.  -  Mid Cap,JKG
712957313.2,35.0,VanEck Vectors Fallen Angel High Yield Bond ETF,['VanEck'],,0.314061,0.087211,,Fixed Income: U.S.  -  Corporate High Yield,ANGL
704087100.0,25.0,iShares Morningstar Large-Cap Growth ETF,['BlackRock'],0.078874,0.191682,0.098654,0.131721,Equity: U.S.  -  Large Cap Growth,JKE
693257300.0,20.0,PIMCO Investment Grade Corporate Bond Index ETF,['PIMCO'],,0.063696,0.039032,0.03804,Fixed Income: U.S.  -  Corporate Investment Grade,CORP
692694250.0,20.0,Vanguard S&P Mid Cap 400 Value Index Fund,['Vanguard'],,0.387408,0.105385,0.144584,Equity: U.S.  -  Mid Cap Value,IVOV
688256250.0,15.0,Vanguard S&P Mid Cap 400 Index Fund,['Vanguard'],,0.342833,0.100456,0.136391,Equity: U.S.  -  Mid Cap,IVOO
684941250.0,15.0,Vanguard S&P 500 Value Index Fund,['Vanguard'],,0.288391,0.105407,0.13587,Equity: U.S.  -  Large Cap Value,VOOV
677610865.338,60.0,First Trust US Equity Opportunities ETF,['First Trust'],0.104557,0.26255,0.076721,0.166996,Equity: U.S.  -  Total Market,FPX
670852000.0,12.0,Vanguard Russell 1000 Index Fund,['Vanguard'],,0.260425,0.104627,0.138115,Equity: U.S.  -  Large Cap,VONE
